"";"sample";"Pb208207";"Pb208207.U";"Pb206207";"Pb206207.U";"Pb208206";"Pb208206.U";"Pb207206";"Pb207206.U";"year"
"83";"GB31-13";2,40380342758529;0,0184691841148068;1,1506673436928;0,0102750094322003;2,08873498969836;0,00988737851015531;0,866411179884489;0,00621654749751688;"2013"
"84";"GB14-13";2,40944490751317;0,00539419257766856;1,14647399605332;0,00864857308314888;2,09665115576239;0,0125647112142328;0,872370009738199;0,00678698045556698;"2013"
"85";"GB34-13";2,45200507552095;0,007169752668597;1,19322235840301;0,0027471019609196;2,05599842533418;0,00376835055184041;0,838067638957707;0,00197464915069395;"2013"
"86";"GB27-13";2,40776714952987;0,017752296298165;1,15896704970249;0,00656263938311761;2,09071280475935;0,014601481104065;0,862892151601473;0,00506144022474503;"2013"
"87";"GB13-13";2,45171078667951;0,00336132362788212;1,18405902064068;0,00235206627922971;2,07052372386077;0,00482516501938001;0,844553661196392;0,0017216070024937;"2013"
"88";"GB32-13";2,41978842063902;0,00939967381902132;1,15231386113025;0,00413612094944275;2,09996963715181;0,00483024055557941;0,867842902925137;0,00319943557676744;"2013"
"89";"GB11-14";2,43009666511731;0,0050872003020423;1,14870493405033;0,00155168125208396;2,11217273974076;0,00493641081603028;0,870541807600923;0,00119428564124193;"2014"
"90";"GB34-14";2,40346387960674;0,0175958707348018;1,14927316050339;0,00779905588527357;2,08736706230895;0,0100287191428522;0,870220108827204;0,00611622869663336;"2014"
"91";"GB04-14";2,44427468984537;0,00252406746089069;1,1593282619246;0,00201746680132529;2,10776594936238;0,00342426163517542;0,862566694010415;0,00153192332010708;"2014"
"92";"GB27-14";2,43006611587902;0,00479467645207937;1,15122888469234;0,00348199445957869;2,11112157695836;0,00581739551620544;0,868650380887211;0,00271145608510709;"2014"
"93";"GB30-14";2,3986574994837;0,0150080601281388;1,15629086167345;0,0140970779557178;2,08393606284351;0,0202113678105147;0,865194806278247;0,011032350899689;"2014"
"94";"GB23-14";2,44742632565634;0,0061348051818509;1,19507939872447;0,00292070695149003;2,04984981572142;0,00590317521666519;0,836769626050753;0,0021016099738888;"2014"
"95";"GB35-14";2,42930729438664;0,00867416640839177;1,16764878498789;0,00636229003451691;2,08637299633865;0,00921962183114847;0,856486009005842;0,00479874356826096;"2014"
"96";"GB01-14";2,43618463423728;0,0049453037206939;1,15636772287175;0,00224633687103146;2,10722562705123;0,00450943544516813;0,864778136676454;0,00172139284973046;"2014"
"97";"GB06-14";2,43596278277177;0,00355625511951052;1,15586802031902;0,00191452531547474;2,10501672266695;0,00424600725611839;0,865149065353632;0,0014628141395911;"2014"
"98";"GB37-14";2,43819231119939;0,00463678592606339;1,1646087274115;0,00246371775927483;2,09357384194116;0,00525215069516002;0,85865912810762;0,00186374396789387;"2014"
"99";"GB19-14";2,41559150205773;0,0122930503071404;1,15842986158921;0,00476333081159231;2,08331607055583;0,00678004659799115;0,86331330079539;0,0036736401075902;"2014"
"100";"GB02-14";2,43703034440911;0,00583207300503763;1,15741878318388;0,00261392566319289;2,10417482462561;0,00373663696959339;0,863998476964646;0,00201596403365895;"2014"
"101";"GB12-14";2,4424375814549;0,00364993529041905;1,1599628936511;0,00178563872361342;2,1054601673704;0,00408246044712228;0,862096771117097;0,00136247195828063;"2014"
"102";"GB25-14";2,43815071790061;0,00437154068837278;1,17308956252711;0,00508577275413598;2,06890109966592;0,00452261123581927;0,852489848654184;0,00381603259103131;"2014"
"103";"GB38-14";2,40387650756104;0,00981057800719625;1,15849225204106;0,00840309552498837;2,0781350958385;0,00456879762532519;0,863313751158724;0,00645431606863248;"2014"
"104";"GB10-14";2,44042759709059;0,00619938616222391;1,16093803761057;0,0039294464845972;2,09876862649894;0,00343943217667314;0,861394572414168;0,00301404831358492;"2014"
"105";"GB29-14";2,41605715711904;0,0102959324046345;1,16231340828653;0,00709439572975184;2,07825129854151;0,0116992830029362;0,860430446962763;0,00544293096278638;"2014"
"106";"GB39-14";2,40183621035861;0,0206368579872356;1,15065473974453;0,00457908137207365;2,0872246343982;0,0132741229392124;0,869093323123029;0,00357106025641847;"2014"
"107";"GB24-14";2,44482701932945;0,0116749322369699;1,17160656644647;0,00552323375594756;2,0850622796734;0,00962654661341826;0,853568771308138;0,0041689189935922;"2014"
"108";"GB08-14";2,44266316479416;0,0067788799947511;1,1620660244919;0,00234190138067285;2,10202316338995;0,00467344346188539;0,860536561437113;0,0017746694720281;"2014"
"109";"GB03-14";2,44098544344291;0,004134745199564;1,16058072039715;0,0027540897941564;2,10095072491628;0,00301176547844894;0,861627816799641;0,00205582209655578;"2014"
"110";"GB31-14";2,42862662887053;0,017823804191496;1,16821239635763;0,0100344487857892;2,07688414711047;0,016921000882956;0,85615996858298;0,00751131798790385;"2014"
