Pb,207,327232.951,,
Pb,208,800267.083,,
Analyte,Mass,Meas. Intensity,,
Pb,206,355594.511,,
Pb,207,330174.306,,
Pb,208,807522.241,,
Analyte,Mass,Meas. Intensity,,
Pb,206,359984.703,,
Pb,207,334325.233,,
Pb,208,820082.524,,
Analyte,Mass,Meas. Intensity,,
Pb,206,360855.144,,
Pb,207,337277.628,,
Pb,208,822054.839,,
Analyte,Mass,Meas. Intensity,,
Pb,206,363453.453,,
Pb,207,338327.11,,
Pb,208,827819.448,,
Sample ID:,SRM981_1a10,,,
Sample Date/Time:,"Monday, November 30, 2015 13:44:43",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,392509,3.219
  ,Pb,207,364027,3.149
  ,Pb,208,885473,2.979
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,372611.167,,
Pb,207,345536.566,,
Pb,208,843539.847,,
Analyte,Mass,Meas. Intensity,,
Pb,206,377531.751,,
Pb,207,350469.965,,
Pb,208,852253.151,,
Analyte,Mass,Meas. Intensity,,
Pb,206,377685.855,,
Pb,207,349366.452,,
Pb,208,854412.902,,
Analyte,Mass,Meas. Intensity,,
Pb,206,384343.381,,
Pb,207,356568.983,,
Pb,208,867676.761,,
Analyte,Mass,Meas. Intensity,,
Pb,206,388423.598,,
Pb,207,361451.444,,
Pb,208,878530.011,,
Analyte,Mass,Meas. Intensity,,
Pb,206,390012.472,,
Pb,207,363268.364,,
Pb,208,887297.893,,
Analyte,Mass,Meas. Intensity,,
Pb,206,397964.846,,
Pb,207,367726.635,,
Pb,208,892848.726,,
Analyte,Mass,Meas. Intensity,,
Pb,206,396888.257,,
Pb,207,368941.275,,
Pb,208,894412.739,,
Analyte,Mass,Meas. Intensity,,
Pb,206,402752.533,,
Pb,207,375000.427,,
Pb,208,903538.205,,
Analyte,Mass,Meas. Intensity,,
Pb,206,403998.548,,
Pb,207,374861.665,,
Pb,208,915343.811,,
Analyte,Mass,Meas. Intensity,,
Pb,206,409427.328,,
Pb,207,377594.791,,
Pb,208,916667.875,,
Analyte,Mass,Meas. Intensity,,
Pb,206,408469.77,,
Pb,207,377534.754,,
Pb,208,919151.067,,
Sample ID:,C1_min63_1a10,,,
Sample Date/Time:,"Monday, November 30, 2015 13:58:55",,,
Intensities,,,,
